;Nom;Nb sommets;Nb arcs;Valeur relax;Temps flot;Temps relax PLNE;Valeur matching;Temps matching PLNE;Valeur PLNE K=3;Temps PLNE K=3;Valeur PLNE K=4;Temps PLNE K=4
0;00036-00000041.wmd;33.0;260.0;17.0;0;0.0;11.0;68.0;16.0;2.0;17.0;0.0
1;00036-00000032.wmd;32.0;285.0;16.0;0;0.0;14.0;37.0;16.0;0.0;16.0;0.0
2;00036-00000074.wmd;64.0;991.0;36.0;2;1.0;;;;;36.0;25.0
3;00036-00000063.wmd;36.0;501.0;28.0;0;0.0;;;28.0;1.0;28.0;0.0
4;00036-00000117.wmd;128.0;3631.0;70.0;40;8.0;;;;;;
5;00036-00000045.wmd;33.0;340.0;20.0;0;0.0;13.0;295.0;19.0;5.0;20.0;0.0
6;00036-00000009.wmd;16.0;59.0;9.0;0;0.0;8.0;0.0;9.0;0.0;9.0;0.0
7;00036-00000038.wmd;32.0;314.0;23.0;0;0.0;20.0;42.0;23.0;0.0;23.0;0.0
8;00036-00000137.wmd;140.0;5978.0;92.0;202;15.0;;;;;;
9;00036-000000010.wmd;16.0;59.0;4.0;0;0.0;4.0;0.0;4.0;0.0;4.0;0.0
10;00036-00000121.wmd;134.0;4935.0;86.0;60;12.0;;;;;;
11;00036-00000133.wmd;140.0;5979.0;82.0;92;14.0;;;;;;
12;00036-00000146.wmd;147.0;7770.0;104.0;109;20.0;;;;;;
13;00036-00000066.wmd;36.0;418.0;24.0;0;0.0;;;23.0;6.0;24.0;1.0
14;00036-00000051.wmd;35.0;374.0;17.0;0;0.0;13.0;111.0;17.0;0.0;17.0;0.0
15;00036-00000103.wmd;73.0;1829.0;44.0;7;2.0;;;;;44.0;27.0
16;00036-00000099.wmd;70.0;1599.0;40.0;6;1.0;;;;;40.0;5.0
17;00036-00000087.wmd;67.0;1300.0;46.0;4;1.0;;;;;46.0;19.0
18;00036-00000098.wmd;70.0;1458.0;44.0;5;1.0;;;;;44.0;13.0
19;00036-00000135.wmd;140.0;6382.0;101.0;101;16.0;;;;;;
20;00036-00000141.wmd;147.0;7507.0;97.0;115;19.0;;;;;;
21;00036-00000026.wmd;18.0;113.0;8.0;0;0.0;8.0;0.0;8.0;0.0;8.0;0.0
22;00036-00000069.wmd;36.0;368.0;22.0;0;0.0;;;17.0;82.0;22.0;1.0
23;00036-00000148.wmd;147.0;7652.0;108.0;136;20.0;;;;;;
24;00036-00000035.wmd;32.0;299.0;22.0;0;0.0;16.0;112.0;21.0;2.0;22.0;0.0
25;00036-00000132.wmd;140.0;6286.0;99.0;91;15.0;;;;;;
26;00036-00000114.wmd;128.0;3977.0;84.0;47;8.0;;;;;;
27;00036-00000139.wmd;140.0;5886.0;76.0;81;15.0;;;;;;
28;00036-00000083.wmd;67.0;1387.0;41.0;4;1.0;;;;;41.0;20.0
29;00036-00000126.wmd;134.0;5795.0;100.0;76;14.0;;;;;;
30;00036-00000147.wmd;147.0;8016.0;102.0;143;21.0;;;;;;
31;00036-00000040.wmd;32.0;168.0;4.0;0;0.0;4.0;0.0;4.0;0.0;4.0;0.0
32;00036-00000061.wmd;36.0;444.0;22.0;0;0.0;;;22.0;1.0;22.0;0.0
